ScientificName	AphiaID	Match type	LSID	ScientificName	Authority	AphiaID_accepted	ScientificName_accepted	Authority_accepted	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies
Cliona sp4	132026	exact	urn:lsid:marinespecies.org:taxname:132026	Cliona	Grant, 1826	132026	Cliona	Grant, 1826	Animalia	Porifera	Demospongiae	Clionaida	Clionaidae	Cliona			
Colpomenia sinuosa	145857	exact	urn:lsid:marinespecies.org:taxname:145857	Colpomenia sinuosa	(Mertens ex Roth) Derbès & Solier, 1851	145857	Colpomenia sinuosa	(Mertens ex Roth) Derbès & Solier, 1851	Chromista	Ochrophyta	Phaeophyceae	Scytosiphonales	Scytosiphonaceae	Colpomenia		sinuosa	
Columbella sp1	137803	exact	urn:lsid:marinespecies.org:taxname:137803	Columbella	Lamarck, 1799	137803	Columbella	Lamarck, 1799	Animalia	Mollusca	Gastropoda	Neogastropoda	Columbellidae	Columbella			
Corallina racemosa	649106	exact	urn:lsid:marinespecies.org:taxname:649106	Corallina racemosa	Kützing	649106	Corallina racemosa	Kützing	Plantae	Rhodophyta	Florideophyceae	Corallinales	Corallinaceae	Corallina		racemosa	
Corallina sp2	144007	exact	urn:lsid:marinespecies.org:taxname:144007	Corallina	Linnaeus, 1758	144007	Corallina	Linnaeus, 1758	Plantae	Rhodophyta	Florideophyceae	Corallinales	Corallinaceae	Corallina			
Dasya sp1	143870	exact	urn:lsid:marinespecies.org:taxname:143870	Dasya	C.Agardh, 1824	143870	Dasya	C.Agardh, 1824	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasya			
Dasya sp2	143870	exact	urn:lsid:marinespecies.org:taxname:143870	Dasya	C.Agardh, 1824	143870	Dasya	C.Agardh, 1824	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Dasyaceae	Dasya			
Decapoda spp	1130	exact	urn:lsid:marinespecies.org:taxname:1130	Decapoda	Latreille, 1802	1130	Decapoda	Latreille, 1802	Animalia	Arthropoda	Malacostraca	Decapoda					
Dichocoenia sp1	267382	exact	urn:lsid:marinespecies.org:taxname:267382	Dichocoenia	Milne Edwards & Haime, 1848	267382	Dichocoenia	Milne Edwards & Haime, 1848	Animalia	Cnidaria	Anthozoa	Scleractinia	Meandrinidae	Dichocoenia			
Dictyosphaeria sp1	144265	exact	urn:lsid:marinespecies.org:taxname:144265	Dictyosphaeria	Decaisne, 1842	144265	Dictyosphaeria	Decaisne, 1842	Plantae	Chlorophyta	Ulvophyceae	Siphonocladales	Siphonocladaceae	Dictyosphaeria			
Dictyota cervicornis	145364	exact	urn:lsid:marinespecies.org:taxname:145364	Dictyota cervicornis	Kützing, 1859	377141	Canistrocarpus cervicornis	(Kützing) De Paula & De Clerck, 2006	Chromista	Ochrophyta	Phaeophyceae	Dictyotales	Dictyotaceae	Dictyota		cervicornis	
Dictyota dichotoma	145367	exact	urn:lsid:marinespecies.org:taxname:145367	Dictyota dichotoma	(Hudson) J.V.Lamouroux, 1809	145367	Dictyota dichotoma	(Hudson) J.V.Lamouroux, 1809	Chromista	Ochrophyta	Phaeophyceae	Dictyotales	Dictyotaceae	Dictyota		dichotoma	
Dictyota hamifera	220775	exact	urn:lsid:marinespecies.org:taxname:220775	Dictyota hamifera	Setchell, 1926	220775	Dictyota hamifera	Setchell, 1926	Chromista	Ochrophyta	Phaeophyceae	Dictyotales	Dictyotaceae	Dictyota		hamifera	
Dictyota humifusa	145370	exact	urn:lsid:marinespecies.org:taxname:145370	Dictyota humifusa	Hörnig, Schnetter & Coppejans, 1992	145370	Dictyota humifusa	Hörnig, Schnetter & Coppejans, 1992	Chromista	Ochrophyta	Phaeophyceae	Dictyotales	Dictyotaceae	Dictyota		humifusa	
Dictyota menstrualis	145375	exact	urn:lsid:marinespecies.org:taxname:145375	Dictyota menstrualis	(Hoyt) Schnetter, Hörning & Weber-Peukert, 1987	145375	Dictyota menstrualis	(Hoyt) Schnetter, Hörning & Weber-Peukert, 1987	Chromista	Ochrophyta	Phaeophyceae	Dictyotales	Dictyotaceae	Dictyota		menstrualis	
